dimension,label,item_count,avg_rating,avg_rating_count,total_rating_count,avg_rank,query_count,frequency_score,rating_count_score,rank_score,cross_category_score,trend_score,frequency_score_normalized,rating_count_score_normalized,rank_score_normalized,cross_category_score_normalized,rank_in_dimension
derived_style,casual,212,3.7830188679245285,384.6981132075472,81556.0,23.46698113207547,12,0.38475499092558985,5.9550549733369,0.5414901809780517,1.0,0.8366962239179323,1.0,0.9087874568553027,0.5110987791342955,1.0,1
derived_style,basic,47,3.7638297872340427,394.06382978723406,18521.0,27.340425531914892,9,0.0852994555353902,5.979047346244214,0.462440295267043,0.75,0.543557732109335,0.21428571428571427,0.9139174317414284,0.3591989987484356,0.7000000000000001,2
derived_style,sporty,3,3.9333333333333336,388.3333333333333,1165.0,11.0,2,0.0054446460980036296,5.9644358747200625,0.7959183673469388,0.16666666666666666,0.512286375090024,0.0047619047619047615,0.9107932521424448,1.0,0.0,3
derived_style,formal,10,3.9200000000000004,589.9,5899.0,34.5,3,0.018148820326678767,6.381646798351629,0.3163265306122449,0.25,0.2998807966417961,0.0380952380952381,1.0,0.07843137254901969,0.1,4
derived_style,party,2,3.65,4.5,9.0,36.5,2,0.003629764065335753,1.7047480922384253,0.2755102040816326,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,5
derived_scene,vacation,90,3.871111111111111,668.7444444444444,60187.0,23.233333333333334,10,0.16333938294010888,6.506896213421213,0.5462585034013605,0.8333333333333334,0.6657933771498253,0.820754716981132,1.0,0.2562798783137762,1.0,1
derived_scene,daily wear,109,3.8577981651376145,427.7522935779817,46625.0,25.03669724770642,10,0.19782214156079855,6.06087934791886,0.509455158210073,0.8333333333333334,0.5679443488950763,1.0,0.7636727974967498,0.0,1.0,2
derived_scene,outdoor,3,4.033333333333333,280.6666666666667,842.0,18.0,2,0.0054446460980036296,5.640724338689064,0.653061224489796,0.16666666666666666,0.48012077077136006,0.0,0.5410487991033953,1.0,0.0,3
derived_scene,work,27,3.6814814814814816,533.925925925926,14416.0,21.925925925925927,6,0.04900181488203267,6.2821282810968375,0.5729402872260014,0.5,0.4752443697115354,0.22641509433962262,0.8809041075188235,0.44207832343425485,0.5,4
derived_scene,party,11,3.5454545454545454,100.45454545454545,1105.0,23.818181818181817,3,0.019963702359346643,4.6196108701428855,0.5343228200371057,0.25,0.11307911164973149,0.07547169811320754,0.0,0.1731658172336136,0.125,5
derived_colour,red,31,3.8032258064516125,691.4516129032259,21435.0,22.419354838709676,8,0.056261343012704176,6.540238362556323,0.5628703094140882,0.6666666666666666,0.7862909310071508,0.4285714285714286,0.8618271692033089,0.7934520943668752,1.0,1
