scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:16,amazon.in,cargo pants,1,1,1,no,B0GDFT13SN,Lymio,Lymio Cargo for Men || Cotton Cargo Pant || Drawstring Waist Pant (Also Available in Plus Sizes) (145-148),₹599,INR,599,4.2 out of 5 stars,4.2,147 ratings,147,men,,,,cotton,,https://www.amazon.in/Lymio-Cotton-Drawstring-Available-Cargo-146-Green-L/dp/B0GDFT13SN/ref=sr_1_1?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-1,https://m.media-amazon.com/images/I/61VzbIFEk4L._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,2,2,no,B0DF793LJT,Lymio,Lymio Cargo for Men | Cotton Cargo Pant | Drawstring Waist Pant (Also Available in Plus Sizes) (46-49),₹799,INR,799,3.4 out of 5 stars,3.4,440 ratings,440,men,,,,cotton,,https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-46-49/dp/B0DF793LJT/ref=sr_1_2?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-2,https://m.media-amazon.com/images/I/61Lc+e1Ka7L._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,3,3,no,B0D91W682Y,Lymio,Lymio Cargo for Men | Cotton Cargo Pant | Drawstring Waist Pant (Also Available in Plus Sizes) (34-37),₹749,INR,749,3.8 out of 5 stars,3.8,"1,504 ratings",1504,men,,,,cotton,,https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-34-Green-L/dp/B0D91W682Y/ref=sr_1_3?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-3,https://m.media-amazon.com/images/I/61Q+oTHo0EL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,4,4,no,B0FYJFYN4P,Casual Feel,Casual Feel Cargo Joggers for Men – Cotton Loose Fit Utility Pants with 6 Pockets | Durable Outdoor & Hiking Trousers,₹399,INR,399,3.8 out of 5 stars,3.8,214 ratings,214,men,casual,outdoor,,cotton,,https://www.amazon.in/Casual-Feel-Cargo-Joggers-Men/dp/B0FYJFYN4P/ref=sr_1_4?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-4,https://m.media-amazon.com/images/I/51VfocFQXyL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,5,5,no,B0DF789TB7,Lymio,Lymio Cargo for Men | Cotton Cargo Pant | Drawstring Waist Pant (Also Available in Plus Sizes) (46-49),₹799,INR,799,3.4 out of 5 stars,3.4,440 ratings,440,men,,,,cotton,,https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-46-49/dp/B0DF789TB7/ref=sr_1_5?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-5,https://m.media-amazon.com/images/I/61u5oAftaeL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,6,6,no,B0GHMSDWGF,Samfor,Samfor Pant for Men Casual Feel Cargo Joggers for Men – Cotton Loose Fit Utility Pants with 6 Pockets | Durable Outdoor & ...,₹549,INR,549,4.6 out of 5 stars,4.6,124 ratings,124,men,casual,outdoor,,cotton,,https://www.amazon.in/Samfor-Pant-Casual-Cargo-Joggers/dp/B0GHMSDWGF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-6,https://m.media-amazon.com/images/I/51z-YiTRqlL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,7,7,no,B0GKPXXXXS,WEREFLEX,WEREFLEX Cargo for Men || Cotton Cargo Pant || Drawstring Waist Pant (Also Available in Plus Sizes) (W-Cargo-117-120),₹679,INR,679,4.3 out of 5 stars,4.3,49 ratings,49,men,,,,cotton,,https://www.amazon.in/WEREFLEX-Cotton-Drawstring-Available-W-C118-Grey-L/dp/B0GKPXXXXS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-7,https://m.media-amazon.com/images/I/61zwYFdN-5L._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,8,8,no,B0CTPZ3364,Lymio,Lymio Cargo for Men | Cotton Cargo Pant | Drawstring Waist Pant (Also Available in Plus Sizes)(09-12),₹699,INR,699,3.4 out of 5 stars,3.4,"5,800 ratings",5800,men,,,,cotton,,https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-09-12/dp/B0CTPZ3364/ref=sr_1_8?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-8,https://m.media-amazon.com/images/I/61th0PbHfBL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,9,9,no,B0DZGSHQBS,Leriya Fashion,"Leriya Fashion Men Mid Rise Cargo Pants with 6 Pockets, Premium Cotton Drawstring Trousers, Comfortable Casual Workwear Jo...",₹699,INR,699,3.5 out of 5 stars,3.5,570 ratings,570,men,casual,daily wear,,cotton,,https://www.amazon.in/FASHION-Pockets-Joggers-Trousers-LF-TP-1170-XL-KHAKHI/dp/B0DZGSHQBS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-9,https://m.media-amazon.com/images/I/6151KDnuMUL._AC_UL320_.jpg,
2026-04-26T21:17:16,amazon.in,cargo pants,1,10,10,no,B0DRFNDSNX,Lymio,Lymio Cargo for Men || Cotton Cargo Pant || Drawstring Waist Pant (Also Available in Plus Sizes) (117-120),₹749,INR,749,3.6 out of 5 stars,3.6,139 ratings,139,men,,,,cotton,,https://www.amazon.in/Lymio-Cargo-Cotton-Cargos-Cargo-118-Grey-M/dp/B0DRFNDSNX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.is8w1_4LpQGYY1s5fswtgMI37lcC5pC07SVdU3UCe1SLAr1-xGiofid-UGfqKPVUqQKoIthdBdT-Lux57glUjPZvgDTbEV58MscIvPP1dy7bVHGVenM7k5RJ2nARSuLBg_HrVz4EYVp8kUU6A38a-KwbquyAwjUDl9u2D_DiW_L6wBJQ9TyRIXuttzx6Ww_NEAyBpOT70rQRk9cJbVJ-MQi7PgEBJj2gq57VO4WIRGy8MdErR-t0l83_P8aIlwnYF2LzfD4TV8y0FQ0GV2peKJHntNmAv03CyLTibYbBR5U.RXcbYupFL5hjHDm-Wj8rOxrntnQOS98poSunnpc-TTg&dib_tag=se&keywords=cargo+pants&qid=1777209434&sr=8-10,https://m.media-amazon.com/images/I/61rDp+s9DkL._AC_UL320_.jpg,
