scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:16:49,amazon.in,denim jacket,1,1,1,no,B0FPD4RHYH,GRECIILOOKS,GRECIILOOKS Men’S Denim Jacket | Classic Regular Fit Jeans Jacket For Men | Stylish Branded Jackets For Men – Timeless Cas...,₹799,INR,799,3.8 out of 5 stars,3.8,239 ratings,239,men,basic,,denim,denim,,https://www.amazon.in/GRECIILOOKS-Lightweight-Streetwear-Winterwear-Gl-Djt-Ms6329-L-Blue/dp/B0FPD4RHYH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-1,https://m.media-amazon.com/images/I/51g+JumJl9L._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,2,2,no,B08PFYB45F,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,"₹1,299",INR,1299,3.8 out of 5 stars,3.8,"2,957 ratings",2957,men,basic,,denim,denim,,https://www.amazon.in/Urbano-Fashion-Regular-Washed-jakt-denim-lblue-m/dp/B08PFYB45F/ref=sr_1_2?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-2,https://m.media-amazon.com/images/I/71e5Iu8ju8L._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,3,3,no,B0FN7KHQ3Y,ODDMONKEY,ODDMONKEY Mens Denim Jacket || Jecket For Men || Denim Jackets (JACKET-01),₹999,INR,999,3.9 out of 5 stars,3.9,95 ratings,95,men,,,denim,denim,,https://www.amazon.in/OddMonkey-Jacket-Jackets-JACKET-01-Standard/dp/B0FN7KHQ3Y/ref=sr_1_3?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-3,https://m.media-amazon.com/images/I/81kER3TiAWL._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,4,4,no,B084HDTG6R,FUNDAY FASHION,FUNDAY FASHION Womens Denim Standard Length Full Sleeve Solid Jacket,₹449,INR,449,3.7 out of 5 stars,3.7,"9,379 ratings",9379,women,,,denim,denim,solid,https://www.amazon.in/FUNDAY-FASHION-Sleeve-Womens-Jacket/dp/B084HDTG6R/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-4,https://m.media-amazon.com/images/I/81iiPvmfJvL._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,5,5,no,B0CK2785H2,VOGATI,VOGATI Men's Denim Jacket,₹809,INR,809,3.8 out of 5 stars,3.8,106 ratings,106,men,,,denim,denim,,https://www.amazon.in/VOGATI-Mens-Denim-Jacket-kjt204vog-s_Black_S/dp/B0CK2785H2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-5,https://m.media-amazon.com/images/I/71CRiLBCNxL._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,6,6,no,B0FPD4WBL9,GRECIILOOKS,GRECIILOOKS Men’S Denim Jacket | Classic Regular Fit Jeans Jacket For Men | Stylish Branded Jackets For Men – Timeless Cas...,₹999,INR,999,3.8 out of 5 stars,3.8,239 ratings,239,men,basic,,denim,denim,,https://www.amazon.in/GRECIILOOKS-Lightweight-Streetwear-Winterwear-Gl-Djt-Ms6327-M-Brown/dp/B0FPD4WBL9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-6,https://m.media-amazon.com/images/I/71hCkZSkl1L._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,7,7,no,B08PFZBB2P,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,"₹1,299",INR,1299,3.8 out of 5 stars,3.8,"2,957 ratings",2957,men,basic,,denim,denim,,https://www.amazon.in/Urbano-Fashion-Regular-Washed-Sleeve/dp/B08PFZBB2P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-7,https://m.media-amazon.com/images/I/61CIVMG34jL._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,8,8,no,B08PFZ3LP8,Urbano Fashion,Urbano Fashion Men's Regular Fit Washed Full Sleeve Denim Jacket,"₹1,080",INR,1080,3.8 out of 5 stars,3.8,"2,957 ratings",2957,men,basic,,denim,denim,,https://www.amazon.in/Urbano-Fashion-Regular-Washed-jakt-denim-mblue-l/dp/B08PFZ3LP8/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-8,https://m.media-amazon.com/images/I/71JD6wLCE+L._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,9,9,no,B0FN7GNKYZ,ODDMONKEY,ODDMONKEY Mens Denim Jacket || Jecket For Men || Denim Jackets (JACKET-01),₹999,INR,999,3.9 out of 5 stars,3.9,95 ratings,95,men,,,denim,denim,,https://www.amazon.in/OddMonkey-Jacket-Jackets-JACKET-01-Standard/dp/B0FN7GNKYZ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-9,https://m.media-amazon.com/images/I/815DHwdwDaL._AC_UL320_.jpg,
2026-04-26T21:16:49,amazon.in,denim jacket,1,10,10,no,B0C1P13DL9,VOXATI,VOXATI Men's Slim Fit Jacket,₹803,INR,803,3.8 out of 5 stars,3.8,545 ratings,545,men,,,denim,denim,,https://www.amazon.in/VOXATI-Mens-Denim-Jacket-kjt204xy-m_Black_M/dp/B0C1P13DL9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ZNsZwxtM5Y6bTiNX6UdoqiGmuZDtDZNtWGqTlg3LOkMdNhthJkrcDoQjD-EWa1TRmGaZUm-pebMTD9ZcFAfjERQC-NtUjbegoe635sO8OHU5ydscPzsnvYwMjajIFptS4gSgu0cdUZiZ8l4aobfpLD2JnQqjM0FScAYHHqdm0U9PYOf6lBDvUjDd5AtADKj8XWCRCDX6irT8kMXbrPosp0w2P_PzKC2_Oyg1pPZThCMHfrpt_nvTh1DobcMdHClvCDVsSgdgy8_IPyJDVEQv5EVnQT3i3R_snnAE9MC9j0k.76SToGnbQGhrHicNpzKXO2VbGh_-k3G5Jooz351tGZ8&dib_tag=se&keywords=denim+jacket&qid=1777209407&sr=8-10,https://m.media-amazon.com/images/I/61D2ou4BoaL._AC_UL320_.jpg,
