scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:16:42,amazon.in,bucket hat,1,1,1,no,B0DT1G7VMK,JACK & JONES,Jack & Jones Men's Polyester Hat,₹764,INR,764,3.9 out of 5 stars,3.9,10 ratings,10,men,,,,polyester,,https://www.amazon.in/JACK-JONES-Brown-Embroidered-Bucket/dp/B0DT1G7VMK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-1,https://m.media-amazon.com/images/I/51L25vWnzCL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,2,2,no,B0BCQBX768,JAZAA,JAZAA Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,₹261.25,INR,261.25,3.9 out of 5 stars,3.9,443 ratings,443,women,,vacation,,,reversible,https://www.amazon.in/JAZAA-Reversible-Packable-Fisherman-Outdoor/dp/B0BCQBX768/ref=sr_1_2?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-2,https://m.media-amazon.com/images/I/511bc6uY14L._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,3,3,no,B0G9Q66QTH,STORE 2508,STORE 2508 Bucket Hat Reversible Foldable Cotton Sun Beach Fisherman Hat Casual Outdoor Cap Lovely Bomber Hats for Women M...,₹289,INR,289,3.9 out of 5 stars,3.9,3 ratings,3,women,casual,vacation,,cotton,reversible,https://www.amazon.in/STORE-2508-Reversible-Fisherman-Multi-Colour/dp/B0G9Q66QTH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-3,https://m.media-amazon.com/images/I/51BO3Umj3DL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,4,4,no,B088MKR7DY,The Hat Depot,The Hat Depot Bucket Sun Hat 100% Cotton Long Brim and Deeper & Round Top Tennis Packable Summer Fashion Outdoor Hat,₹299,INR,299,4.3 out of 5 stars,4.3,"2,074 ratings",2074,,,vacation,,cotton,,https://www.amazon.in/Hat-Depot-Cotton-Packable-Fashion/dp/B088MKR7DY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-4,https://m.media-amazon.com/images/I/81tc6hoXFkL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,5,5,no,B0FFGW3QPT,STORE 2508,STORE 2508 Bucket Hat Reversible Foldable Cotton Sun Beach Fisherman Hat Casual Outdoor Cap Lovely Bomber Hats for Women M...,₹299,INR,299,4.8 out of 5 stars,4.8,18 ratings,18,women,casual,vacation,,cotton,reversible,https://www.amazon.in/STORE-2508-Reversible-Fisherman-Multi-Colour/dp/B0FFGW3QPT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-5,https://m.media-amazon.com/images/I/51VmQZFwTJL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,6,6,no,B0BGHNYXXW,JAZAA,JAZAA Unisex Fashion Embroidered Bucket Hat Summer Short Brim for Men Women Teens,₹259,INR,259,4.1 out of 5 stars,4.1,134 ratings,134,women,,vacation,red,,embroidered,https://www.amazon.in/JAZAA-Unisex-Fashion-Embroidered-Bucket/dp/B0BGHNYXXW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-6,https://m.media-amazon.com/images/I/71BjpoqL5SL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,7,7,no,B0GQBS4RDJ,HSR,HSR Women Wide Brim Sun Hat | Versatile Casual Sunshade Bucket Hat for Women | UV Protection Summer Cap,₹299,INR,299,4.3 out of 5 stars,4.3,10 ratings,10,women,casual,vacation,,,,https://www.amazon.in/HSR-Versatile-Casual-Sunshade-Protection/dp/B0GQBS4RDJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-7,https://m.media-amazon.com/images/I/71t66vmNMOL._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,8,8,no,B0CNTNFRXT,Tomorrow Fashion,"Tomorrow Fashion Reversible Bucket Hat for Women, Men & Teens | 2-in-1 Black & Cream Beach Sun Hat | Lightweight Travel Fi...",₹299,INR,299,3.6 out of 5 stars,3.6,10 ratings,10,women,,vacation,black,,reversible,https://www.amazon.in/Tomorrow-Bucket-Reversible-Fisherman-Revercible/dp/B0CNTNFRXT/ref=sr_1_8?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-8,https://m.media-amazon.com/images/I/61sUQc88L7L._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,9,9,no,B0C1ZD4Y68,FY LANE,FY LANE Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,₹249,INR,249,3.5 out of 5 stars,3.5,81 ratings,81,women,,vacation,,,reversible,https://www.amazon.in/FY-LANE-Bucket-Fisherman-Outdoor/dp/B0C1ZD4Y68/ref=sr_1_9?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-9,https://m.media-amazon.com/images/I/31IdigDR8-L._AC_UL320_.jpg,
2026-04-26T21:16:42,amazon.in,bucket hat,1,10,10,no,B0B31TFLY8,JAZAA,JAZAA Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,₹261.25,INR,261.25,4.0 out of 5 stars,4.0,719 ratings,719,women,,vacation,,,reversible,https://www.amazon.in/JAZAA-Reversible-Packable-Fisherman-Outdoor/dp/B0B31TFLY8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.D-4NXgRj0gGRRM4lQnPZ-FHRBmfdMU4_nwkU39tsPoCq9n1lsnwJNVP5ziM8_nqFjK56lZ6OfJMJDKgoXXpw8q3HI1cBm8oaShnG78FD9Te55p4ZhMEPmZIf8YiTQGsigVfvb8rTKlqGkI_13k1JLDth9Ke28MBidukMOF2lYI75JZ4hNJAEtBiuJKbUoky2mS1h4WyoBPC1ARmANNiHUxbJJmYIAMitXoa98EIOXcxHeTPCFuxAEWNemSRSn_BnGXlbTc1fAuVyoO9YE_LAUKQJyIiAtO-41Te3L96eDHA.Iv0F2NwBmTFBbeg6BOy_Ndxhd7RNPEeBnPDqbqx3Ulk&dib_tag=se&keywords=bucket+hat&qid=1777209401&sr=8-10,https://m.media-amazon.com/images/I/51+o1ClftsL._AC_UL320_.jpg,
