scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:16:55,amazon.in,floral dress,1,1,1,no,B0GQT2Q19H,MASIYALA,"MASIYALA Women's Floral Print Maxi Dress, Black with Pink Flowers, Short Sleeve, A-Line Style",₹299,INR,299,3.6 out of 5 stars,3.6,18 ratings,18,women,,,black,,floral,https://www.amazon.in/MASIYALA-Womens-Floral-Flowers-Sleeve/dp/B0GQT2Q19H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-1,https://m.media-amazon.com/images/I/61yVG8Qe+FL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,2,2,no,B0GCNTLFMB,Generic,"Women's Pink Bandhani Print Tiered Maxi Dress, Short Sleeve, Square Neck, Cotton",₹409,INR,409,3.3 out of 5 stars,3.3,64 ratings,64,women,,,red,cotton,floral,https://www.amazon.in/Womens-Bandhani-Tiered-Sleeve-Regular/dp/B0GCNTLFMB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-2,https://m.media-amazon.com/images/I/61RR8+DmkLL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,3,3,no,B0GK9ZFB6J,Modestouze Attires,"Modestouze Attires Dress for Women Western Maxi Style, Indo Western Dresses, One Piece Long Gown, A Line Flared Pattern, E...",₹695,INR,695,4.3 out of 5 stars,4.3,104 ratings,104,women,,,red,,floral,https://www.amazon.in/Modestouze-Attires-Western-Dresses-Pattern/dp/B0GK9ZFB6J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-3,https://m.media-amazon.com/images/I/61QQbNKtCGL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,4,4,no,B0F4XGDY7H,FABNEX,FABNEX One Piece Long Maxi Dresses for Women (K-141-142),₹739,INR,739,4.2 out of 5 stars,4.2,42 ratings,42,women,,,,,floral,https://www.amazon.in/FABNEX-Piece-Dresses-Women-K-141-Pink-M/dp/B0F4XGDY7H/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-4,https://m.media-amazon.com/images/I/61jxvPIJFUL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,5,5,no,B0DQVB6Q91,KATECLO,KATECLO Women's & Girls Midi Solid Cami Casual Dress,₹429,INR,429,4.0 out of 5 stars,4.0,296 ratings,296,women,casual,daily wear,,,solid,https://www.amazon.in/KATECLO-Womens-Girls-Casual-Multicolour/dp/B0DQVB6Q91/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-5,https://m.media-amazon.com/images/I/81+oNkZ7ZGL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,6,6,no,B0FP2K63L3,KZULLY,KZULLY | Dress for Women | Midi Length | Flared Hem | Puff Sleeve | Square Neck | Smocked Bodice,₹559,INR,559,3.9 out of 5 stars,3.9,102 ratings,102,women,,,red,,floral,https://www.amazon.in/KZULLY-Length-Flared-Sleeve-Smocked/dp/B0FP2K63L3/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-6,https://m.media-amazon.com/images/I/71mkuu0jn-L._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,7,7,no,B0DWXH2XSB,LITZO,LITZO Dress for Women || Western Dresses for Women || One Piece Maxi Dress (L-32-34),₹849,INR,849,3.5 out of 5 stars,3.5,436 ratings,436,women,,,,,floral,https://www.amazon.in/LITZO-Womens-Georgette-Bodycon-L-32-XL_Pink/dp/B0DWXH2XSB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-7,https://m.media-amazon.com/images/I/713gJ+YKQ4L._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,8,8,no,B0DF2RY4Y6,GRECIILOOKS,GRECIILOOKS Women Dress,₹599,INR,599,3.9 out of 5 stars,3.9,801 ratings,801,women,,,,,floral,https://www.amazon.in/GRECIILOOKS-Rayon-Bodycon-Dresses-GL-WD1232_Multicolor/dp/B0DF2RY4Y6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-8,https://m.media-amazon.com/images/I/71R0wHldqtL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,9,9,no,B0FPRFZRQT,PURVAJA,PURVAJA Women’s A-Line Midi Dress,₹499,INR,499,4.3 out of 5 stars,4.3,46 ratings,46,women,,,,,floral,https://www.amazon.in/PURVAJA-Womens-Line-Dress-Wini-210-M_Dark/dp/B0FPRFZRQT/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-9,https://m.media-amazon.com/images/I/61HUSKCULQL._AC_UL320_.jpg,
2026-04-26T21:16:55,amazon.in,floral dress,1,10,10,no,B0G4QX7SCH,Modestouze Attires,Modestouze Attires Dress for Woman | Western Dress for Women | Stylish Maxi Wear | Long One Piece | Floral Printed Frock f...,₹695,INR,695,4.2 out of 5 stars,4.2,207 ratings,207,women,,,,,floral,https://www.amazon.in/Modestouze-Attires-Western-Stylish-Vacation/dp/B0G4QX7SCH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FVEgEwHHKqN0-jazSo7VYV7giAapfsbKL9XPotgmI89stS8JnJJr-pq5e_Lx4Vi6qfiIEWzP2OXmikTfKH1v0C5GsX0fHOMjzQvVtp2T8ccNbAHV1WvcL81VKa9lI4Y8axQoDLUly-UDgWReWUubfNIU8a3GHnJmXxahO0dC0b20pfEvHL7gZl01ubxE1HZ5-QdIkBZlJOyBLH_5Z-C_HtZLmH8ZwL4xuhMzA6Jw9HLpXk67OaPw7mNVrvoA0aLp5CWxi6dJ0H7CJEgMIMOyKbE6NtzovIu_uq6_zFoRCMw.LDs6UyVwMk_Ci-QBWILWZTUOB05lK04BRlJ0McKrq9Y&dib_tag=se&keywords=floral+dress&qid=1777209413&sr=8-10,https://m.media-amazon.com/images/I/71eKFCtyXUL._AC_UL320_.jpg,
