scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:22,amazon.in,knit cardigan,1,1,1,no,B0F8KD47ZT,Generic,"Women’s Cropped Tie-Front Shrug Cardigan | Soft Ribbed Knit Long Sleeve V-Neck Top | Stylish Summer Cardigan, Casual Beach...",₹284,INR,284,3.8 out of 5 stars,3.8,73 ratings,73,women,casual,vacation,,knit,,https://www.amazon.in/Cropped-Tie-Front-Cardigan-Stylish-Vacation/dp/B0F8KD47ZT/ref=sr_1_1?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-1,https://m.media-amazon.com/images/I/513c3fVae2L._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,2,2,no,B0GK28BXTL,NOBARR,NOBARR Women's Pink V-Neck Button Down Cardigan Sweater | Down Shoulder Knit | Viscose Cotton Blend Winter Wear,₹699,INR,699,4.0 out of 5 stars,4.0,2 ratings,2,women,,,pink,cotton,,https://www.amazon.in/NOBARR-Cardigan-Sweater-Shoulder-Viscose/dp/B0GK28BXTL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-2,https://m.media-amazon.com/images/I/41+c8oRUiIL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,3,3,no,B0GG89VXH9,Generic,"GLOWSTITCH™ Women’s Cropped Tie-Front Shrug Cardigan | Soft Ribbed Knit Long Sleeve V-Neck Top | Stylish Summer Cardigan, ...",₹284,INR,284,4.4 out of 5 stars,4.4,11 ratings,11,women,,vacation,,knit,,https://www.amazon.in/GLOWSTITCHTM-Cropped-Tie-Front-Cardigan-Vacation/dp/B0GG89VXH9/ref=sr_1_3?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-3,https://m.media-amazon.com/images/I/618B7hZVNDL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,4,4,no,B0DMNFXJYX,FEVERFEW,FEVERFEW Trendy Women V Neck Knitted Sweater,₹543,INR,543,4.0 out of 5 stars,4.0,42 ratings,42,women,,,,knit,,https://www.amazon.in/FEVERFEW-Knitted-Sweater-Cardigan-Stripes/dp/B0DMNFXJYX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-4,https://m.media-amazon.com/images/I/71a0m1nPe-L._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,5,5,no,B0GH973L78,DRAXSTAR,DRAXSTAR Women’s Open Front Hooded Cardigan – Long Sleeve Lightweight Casual Shrug | Soft Knit Hooded Jacket for Everyday...,₹299,INR,299,3.0 out of 5 stars,3.0,2 ratings,2,women,casual,daily wear,,knit,,https://www.amazon.in/DRAXSTAR-Womens-Front-Hooded-Cardigan/dp/B0GH973L78/ref=sr_1_5?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-5,https://m.media-amazon.com/images/I/51ZyAoxWF3L._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,6,6,no,B0DMNGHYGV,FEVERFEW,FEVERFEW Stylish Vneck Sweater | Women's Knitted Sweater | Self Design | Casual Wool | Sweaters for Ladies | Cardigans Swe...,₹543,INR,543,4.2 out of 5 stars,4.2,77 ratings,77,women,casual,daily wear,,wool,,https://www.amazon.in/FEVERFEW-Stylish-Cardigans-Sweater-Knitted/dp/B0DMNGHYGV/ref=sr_1_6?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-6,https://m.media-amazon.com/images/I/71yyMbatsPL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,7,7,no,B0GG7H7MWJ,Generic,"GLOWSTITCH™ Women’s Cropped Tie-Front Shrug Cardigan | Soft Ribbed Knit Long Sleeve V-Neck Top | Stylish Summer Cardigan, ...",₹284,INR,284,4.4 out of 5 stars,4.4,11 ratings,11,women,,vacation,,knit,,https://www.amazon.in/GLOWSTITCHTM-Cropped-Tie-Front-Cardigan-Vacation/dp/B0GG7H7MWJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-7,https://m.media-amazon.com/images/I/71zinN1akBL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,8,8,no,B0FS24CBSM,ICW,"ICW Women Knit Cardigan with 3D Cherry V-Neck Long Sleeve Hollow Out Cropped Top Jacket E362-1 (in, Alpha, M, Regular, Of...",₹699,INR,699,3.1 out of 5 stars,3.1,13 ratings,13,women,basic,,,knit,,https://www.amazon.in/ICW-Cardigan-Cropped-Regular-Off-White/dp/B0FS24CBSM/ref=sr_1_8?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-8,https://m.media-amazon.com/images/I/71yH3RpjiCL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,9,9,no,B0DSC9TKSX,ICW,ICW Women's Knitted Ribbed Cardigan Long-Sleeve V-Neck Button-Up Shrug Jacket Top Dn85,₹499,INR,499,3.7 out of 5 stars,3.7,38 ratings,38,women,,,,knit,,https://www.amazon.in/ICW-Knitted-Cardigan-Long-Sleeve-Button-Up/dp/B0DSC9TKSX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-9,https://m.media-amazon.com/images/I/71hTnlgYcqL._AC_UL320_.jpg,
2026-04-26T21:17:22,amazon.in,knit cardigan,1,10,10,no,B0DYYL39TJ,Redamancii,Redamancii Solid V Neck Cardigan Full Sleeves Regular Fit Casual Ribbed Top for Women,₹342,INR,342,3.3 out of 5 stars,3.3,18 ratings,18,women,casual,daily wear,red,knit,solid,https://www.amazon.in/Redamancii-Cardigan-Sleeves-Regular-Casual/dp/B0DYYL39TJ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.kZTcRXWSf3jpeWPtypfkbxnESQZzLV21FFvtnvYJeCMq7PBE4slj9hXVj9lWrbEc9XhUVxelLUiJbmz2xZmNg94kq-cifKKbED7exJWoqKhKhJ3TGIlmA72TrZ0H4OrcoR5GoGWh2gaHielGd2J7rEO92NO2P12oL9UmZdBbYTy2QIJwQMvNVt59TVq86ydwgol6o3pgppCWm5pL2UO7qPJd_LSeSGYJYUIzbiMX1zXEZV9WiQLB8wKOQzgJ-Jj6NeY9vGk6KghVojzTKHKi511hWZHHw78UOTu9HG_FPWo.Dz0ENSI3O0gIBuZ5cRT4-6tYjYodDReK_cLHG7_xCGk&dib_tag=se&keywords=knit+cardigan&qid=1777209440&sr=8-10,https://m.media-amazon.com/images/I/31-+yv+6JLL._AC_UL320_.jpg,
