scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:45,amazon.in,leather jacket,1,1,1,no,B0GQHS5BW5,EXOTIX,EXOTIX Black Leather Jacket for Men | Collared Zip-Up Classic Style | Crop Fit Racing Sports Bomber Jacket | Premium Leath...,₹949,INR,949,3.0 out of 5 stars,3.0,4 ratings,4,men,sporty,,black,leather,,https://www.amazon.in/EXOTIX-Leather-Collared-Classic-Premium/dp/B0GQHS5BW5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-1,https://m.media-amazon.com/images/I/51aa6X0QOmL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,2,2,no,B0G4R959P2,URBAN SKULL,"URBAN SKULL Faux Leather Oversized Coach Jacket for Men | Premium Streetwear Outerwear for Winter, Travel, Parties | Class...",₹949,INR,949,3.3 out of 5 stars,3.3,14 ratings,14,men,casual,vacation,,leather,,https://www.amazon.in/URBAN-SKULL-Streetwear-BLACK-JACK-XXL/dp/B0G4R959P2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-2,https://m.media-amazon.com/images/I/51oPg1YExxL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,3,3,no,B0G4R71PFQ,URBAN SKULL,"URBAN SKULL Faux Leather Oversized Coach Jacket for Men | Premium Streetwear Outerwear for Winter, Travel, Parties | Class...",₹949,INR,949,3.3 out of 5 stars,3.3,14 ratings,14,men,casual,vacation,,leather,,https://www.amazon.in/URBAN-SKULL-Streetwear-MAROON-JACK-XXL/dp/B0G4R71PFQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-3,https://m.media-amazon.com/images/I/31OS69qGrCL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,4,4,no,B0GHMQ7CJ5,EXOTIX,EXOTIX Faux Leather Oversized Coach Jacket | Stylish Polo Collar Winter Travel | Classic Design For Men & Women | Plain Ra...,₹999,INR,999,4.3 out of 5 stars,4.3,16 ratings,16,women,casual,vacation,,leather,,https://www.amazon.in/EXOTIX-Leather-Oversized-Stylish-Parties/dp/B0GHMQ7CJ5/ref=sr_1_4?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-4,https://m.media-amazon.com/images/I/61yvz5A5+VL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,5,5,no,B0GQBM3GR3,EXOTIX,"EXOTIX Men's Black Leather Jacket | Collared Zip-Up, Classic Style | Black Crop Leather Jacket | Racing Sports Regular Bom...",₹999,INR,999,5.0 out of 5 stars,5.0,1 ratings,1,men,sporty,,black,leather,,https://www.amazon.in/EXOTIX-Leather-Collared-Classic-leather/dp/B0GQBM3GR3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-5,https://m.media-amazon.com/images/I/61cW3rD6GqL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,6,6,no,B0DDTC9DNP,DIGIMAX LEATHER,DIGIMAX LEATHER MENS FAUX LEATHER JACKET BLACK,"₹1,849",INR,1849,3.8 out of 5 stars,3.8,112 ratings,112,men,,,black,leather,,https://www.amazon.in/DIGIMAX-LEATHER-Leather-Jacket-Regular/dp/B0DDTC9DNP/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-6,https://m.media-amazon.com/images/I/61Rkv7WLP0L._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,7,7,no,B0GMRGSPYX,STYLEVERSE-stay in style,STYLEVERSE-stay in style Men's Faux Leather Bomber Jacket With Front Zip Closure For Casual Or Semi Formal Look,₹999,INR,999,2.5 out of 5 stars,2.5,2 ratings,2,men,casual,work,,leather,,https://www.amazon.in/STYLEVERSE-stay-style-Leather-Bomber-Closure/dp/B0GMRGSPYX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-7,https://m.media-amazon.com/images/I/41HK3pik4CL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,8,8,no,B0GSLCQH22,Generic,LEATHER JACKET FOR WOMEN BIKER,₹999,INR,999,5.0 out of 5 stars,5.0,2 ratings,2,women,,,,leather,,https://www.amazon.in/LEATHER-JACKET-WOMEN-BIKER-Alpha/dp/B0GSLCQH22/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-8,https://m.media-amazon.com/images/I/41rthPRKqLL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,9,9,no,B09924GMVK,Leather Retail,Leather Retail Men's Black Solid Jacket,"₹2,353",INR,2353,4.0 out of 5 stars,4.0,"1,203 ratings",1203,men,,,black,leather,solid,https://www.amazon.in/Leather-Retail-Solid-Jacket-LRM33BLXL14_Black_Xl/dp/B09924GMVK/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-9,https://m.media-amazon.com/images/I/51gDDjOp3rL._AC_UL320_.jpg,
2026-04-26T21:17:45,amazon.in,leather jacket,1,10,10,no,B07C6S6QR6,Leather Retail,Leather Retail Men's Faux Leather Standard Length Jacket,"₹2,139",INR,2139,3.8 out of 5 stars,3.8,"2,106 ratings",2106,men,,,,leather,,https://www.amazon.in/Leather-Retail-Stylish-Italian-Jacket/dp/B07C6S6QR6/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EZpxXJP7A_Cy4UrHXUL_yur0pA7rXdOOvfmzSUdBYmfndVLH_HK02FGDVG25bjKs50P3vpWOtL36YxPbtFfKhWI0XcTMZVcBWTmpRXKYYJfCz_JZJsCeYLEkl0nnHAAHtoviBNwdljUF8pURYZTcS2dp9UOrHfL9Dt6vnzBqF3B2awN-xkZblhe4KQ9amSq2ZZSKbiBZDhNOk4NKanKR0XStWvvySn7rX0rAvrRuF5Eu6UY7xsRJGC7xVb4YD2nKarmPSR3SvevhopS4TQk5QNvm-OClwamIcqZkJeHKWEE.QoU5BTVR5bND0FyHwBSTeLgM7u1VXFq7pzr0vl5FLWM&dib_tag=se&keywords=leather+jacket&qid=1777209463&sr=8-10,https://m.media-amazon.com/images/I/41cYXzuw7QL._AC_UL320_.jpg,
