scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:33,amazon.in,linen shirt,1,1,1,no,B0DXCYNMCX,NexaFlair,NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday...,₹465,INR,465,3.2 out of 5 stars,3.2,746 ratings,746,men,casual,vacation,,cotton,solid,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCYNMCX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-1,https://m.media-amazon.com/images/I/81I4F9xgijL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,2,2,no,B0GJDZH81V,NexaFlair,NexaFlair Man's Casual | Formal | Linen| Cotton | Regular Wear Collared | Fit Shirt for Men,₹469,INR,469,2.8 out of 5 stars,2.8,17 ratings,17,men,casual,work,red,cotton,,https://www.amazon.in/NexaFlair-Casual-Formal-Febrick-Regular/dp/B0GJDZH81V/ref=sr_1_2?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-2,https://m.media-amazon.com/images/I/61ykgVB3xHL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,3,3,no,B0DXCXGL4W,NexaFlair,NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday...,₹445,INR,445,3.2 out of 5 stars,3.2,746 ratings,746,men,casual,vacation,,cotton,solid,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCXGL4W/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-3,https://m.media-amazon.com/images/I/81qh45dSlgL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,4,4,no,B0GJF5N7KC,NexaFlair,NexaFlair Man's Casual | Formal | Linen| Cotton | Regular Wear Collared | Fit Shirt for Men,₹469,INR,469,2.8 out of 5 stars,2.8,17 ratings,17,men,casual,work,red,cotton,,https://www.amazon.in/NexaFlair-Casual-Formal-Febrick-Regular/dp/B0GJF5N7KC/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-4,https://m.media-amazon.com/images/I/613gshOKeLL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,5,5,no,B0FBX2R7G4,NexaFlair,NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday...,₹465,INR,465,3.2 out of 5 stars,3.2,746 ratings,746,men,casual,vacation,,cotton,solid,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0FBX2R7G4/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-5,https://m.media-amazon.com/images/I/71Gv5-5f5nL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,6,6,no,B0F4NJ2445,DEELMO,DEELMO Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt,₹495,INR,495,4.1 out of 5 stars,4.1,"1,415 ratings",1415,men,casual,vacation,red,linen,,https://www.amazon.in/DEELMO-Casual-Fashion-Textured-Regular/dp/B0F4NJ2445/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-6,https://m.media-amazon.com/images/I/61s-ohqlfLL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,7,7,no,B0DG8MJDCG,Linen Club,Linen Club Men's Pure Linen White Checked Contemporary Fit Full Sleeve Casual Shirt,"₹1,679",INR,1679,1.0 out of 5 stars,1.0,1 ratings,1,men,casual,party,white,linen,check,https://www.amazon.in/Linen-Club-Checked-Contemporary-LCSFCK021A768/dp/B0DG8MJDCG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-7,https://m.media-amazon.com/images/I/619kOuQIRlL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,8,8,no,B0GSVTK4FB,EBRANDLADY TRENDZ,"EBRANDLADY TRENDZ Men's Long Sleeve Linen Shirt, Button Down, Casual Collared, Full Sleeve Shirt",₹499,INR,499,,,,,men,casual,daily wear,red,linen,,https://www.amazon.in/EBRANDLADY-TRENDZ-Sleeve-Collared-Regular/dp/B0GSVTK4FB/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-8,https://m.media-amazon.com/images/I/61Cg2GBwQiL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,9,9,no,B0GKVS21CS,Belpatra,Belpatra Striped Casual Regular Fit Shirt for Men| Men Full Sleeve Shirt,₹493,INR,493,3.0 out of 5 stars,3.0,15 ratings,15,men,casual,daily wear,,linen,striped,https://www.amazon.in/Belpatra-Striped-Casual-Regular-Sleeve/dp/B0GKVS21CS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-9,https://m.media-amazon.com/images/I/71s60OWJbOL._AC_UL320_.jpg,
2026-04-26T21:17:33,amazon.in,linen shirt,1,10,10,no,B0DXCYB9K9,NexaFlair,NexaFlair Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday...,₹465,INR,465,3.2 out of 5 stars,3.2,746 ratings,746,men,casual,vacation,,cotton,solid,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCYB9K9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3DsHKM7tQwsfHcygsenC2nmdxJplpR978x5myfigHitFj5Z2Qzod5KWjHcWrBRU2_Qzt-gECtZAuLKqTfp5D0KvJoaD60sleclW4PihFXAalRE4NwkNsYlf2H1BGS4XB_8HgZh5sx9Io3N85Bco7bSZHjHL7XX2s67ojeLpQO8D5krPz3Y-fYN5MNYmumm01FwoYNu7NoDIaBPqlWt89j9yvrpRfi1qB22v25BoyDwzjbGHvyKbv_LidmzO4GyxNu_tlqwtT4bSov0kfxpbtBLBW60S_e1PEUejizLZz_3g.S47VUI2xmdNusbZWXXjADgKXtn-yB3wkhMNVJ2KAQbE&dib_tag=se&keywords=linen+shirt&qid=1777209452&sr=8-10,https://m.media-amazon.com/images/I/817VfkymJxL._AC_UL320_.jpg,
