scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,1,1,no,B0FHJ6M4HW,NETCLICK,"NETCLICK Los Angeles Printed Hoodies Sweatshirt Polycotton for Running, Gym Warm Travel Hoodies for Men",₹447,INR,447,4.0 out of 5 stars,4.0,227 ratings,227,men,casual,vacation,,cotton,printed,https://www.amazon.in/NETCLICK%C2%AELos-Angeles-Printed-Sweatshirt-Polycotton/dp/B0FHJ6M4HW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-1,https://m.media-amazon.com/images/I/41DB2PzxvtL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,2,2,no,B0D8GCNZD9,The Modern Soul,The Modern Soul Half Zipper Solid Hoodie for Men | Sweatshirt for Men,₹442,INR,442,3.7 out of 5 stars,3.7,435 ratings,435,men,casual,,,,solid,https://www.amazon.in/Modern-Soul-Polyester-Zipper-Sweatshirt/dp/B0D8GCNZD9/ref=sr_1_2?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-2,https://m.media-amazon.com/images/I/31B+tV6-28L._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,3,3,no,B0FRB13ZC2,Imsa Moda,"Imsa Moda Men’s Collar Chain Cotton Fleece Sweatshirt | Warm Hoodie for Gym, Travel & Casual Winter Wear",₹473,INR,473,3.6 out of 5 stars,3.6,413 ratings,413,men,casual,vacation,,cotton,,https://www.amazon.in/Imsa-Moda-Collar-Cotton-Sweatshirt/dp/B0FRB13ZC2/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-3,https://m.media-amazon.com/images/I/41XXiwXboSL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,4,4,no,B0FG7JCFD5,SXV STYLE,"SXV STYLE Casual Zip-Up Hoodie, Oversized Fit, Light Grey, Front Pockets",₹999,INR,999,3.8 out of 5 stars,3.8,25 ratings,25,,casual,daily wear,grey,,,https://www.amazon.in/SXV-STYLE-Casual-Oversized-Pockets/dp/B0FG7JCFD5/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-4,https://m.media-amazon.com/images/I/61EAjS1x1AL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,5,5,no,B0CJJ66Y98,Veirdo,Veirdo® Cotton Poly Fleece Oversized Hooded Sweatshirt Baggy Fit Stylish Pocket Graphic Printed Hoodie for Men (Available ...,₹899,INR,899,3.8 out of 5 stars,3.8,379 ratings,379,men,casual,,,cotton,printed,https://www.amazon.in/Veirdo%C2%AE-Cotton-Oversized-Graphic-VH0423MMPT67_XL/dp/B0CJJ66Y98/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-5,https://m.media-amazon.com/images/I/61eH0aCsSaL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,6,6,no,B0CMLGN5FN,Alan Jones Clothing,Alan Jones Clothing Men’s Solid Oversized Hoodie | Cotton Blend Pullover with Kangaroo Pocket & Adjustable Hood | Casual W...,₹657,INR,657,4.0 out of 5 stars,4.0,676 ratings,676,men,casual,daily wear,,cotton,solid,https://www.amazon.in/Alan-Jones-Clothing-Oversize-Anthracite/dp/B0CMLGN5FN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-6,https://m.media-amazon.com/images/I/71VkXNlb2EL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,7,7,no,B0FS7YSTKW,AUSK,AUSK Oversized Hooded Sweatshirt for Man,₹491,INR,491,3.8 out of 5 stars,3.8,17 ratings,17,men,casual,,,,,https://www.amazon.in/AUSK-Oversized-Hooded-Sweatshirt-White/dp/B0FS7YSTKW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-7,https://m.media-amazon.com/images/I/51a+f-BcatL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,8,8,no,B0FT8KTGHQ,Veirdo,Veirdo® Polycotton Spun Oversized Fit Drop Shoulder Hooded Sweatshirt Full Sleeves Solid Jumper Hoodie for Men/Boys (Size...,₹499,INR,499,3.6 out of 5 stars,3.6,146 ratings,146,men,casual,,,cotton,solid,https://www.amazon.in/Polycotton-Oversized-Shoulder-Sweatshirt-OS_HDY_V_SP_FD_L/dp/B0FT8KTGHQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-8,https://m.media-amazon.com/images/I/61YCZYjQ9GL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,9,9,no,B0DHP3HZXP,NETCLICK,NETCLICK® Hoodies Sweatshirt for Unisex Full Sleeve with Kangaroo Pockets,₹446.99,INR,446.99,3.6 out of 5 stars,3.6,476 ratings,476,unisex,casual,,,,,https://www.amazon.in/NETCLICKHoodies-Oversized-Sweatshirt-Unisex-X_Large/dp/B0DHP3HZXP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-9,https://m.media-amazon.com/images/I/411FY4iRcZL._AC_UL320_.jpg,
2026-04-26T21:17:10,amazon.in,oversized hoodie,1,10,10,no,B0FQF8R5YH,Glowic,"Glowic Men’s Hoodie | Oversized Stylish Sweatshirt for Winter Wear | Trendy Casual Hoodie for Men | Perfect for Gym, Trave...",₹599,INR,599,3.5 out of 5 stars,3.5,472 ratings,472,men,casual,daily wear,,,,https://www.amazon.in/Glowic-Mens-Hoodie-Sweatshirt-Streetwear/dp/B0FQF8R5YH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.HQrJ5Nu1Xs7b0m44XEYfn2Q0meyeaSoUipY3Dc6F29jNtCkRgUrWEXp7B6XCrxyZMFHet5e4blZBgSIPsNr59wG-KiLHb82ZnuERcTmEaDaRWrr2h1295VhVrNFG7pNbCcxiYIqodpuv9OxHbGX1k0ZqMBBWDrzP6L7UJuhxpnLGZutNsGm_ihsabM_mnic1rr2lIt2q5G3bPfbiEV1NbLEbYyhiLdsPIqV-47TSiIqAbcSw5fV74UlP1TBy8HJmBHL1POZXhvV04Hibv_R1QoY9zUH-P-L6FQ3DyDToFUU.XiTnXa2rAaa_7NKwkq5B1QFnNUS6rWr1fmRTvy7lrQI&dib_tag=se&keywords=oversized+hoodie&qid=1777209428&sr=8-10,https://m.media-amazon.com/images/I/51Q-16vDx4L._AC_UL320_.jpg,
