scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:27,amazon.in,platform shoes,1,1,1,no,B0BNKR1T8H,Vendoz,Vendoz Women White Casual Sneakers,₹573,INR,573,3.8 out of 5 stars,3.8,"1,698 ratings",1698,women,casual,daily wear,white,,,https://www.amazon.in/Vendoz-Women-Black-Casual-Sneaker/dp/B0BNKR1T8H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-1,https://m.media-amazon.com/images/I/71SGV-4lI9L._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,2,2,no,B0CBMRL65P,Shoetopia,Shoetopia Women's Mesh Sneakers,₹553,INR,553,4.0 out of 5 stars,4.0,458 ratings,458,women,,,,,,https://www.amazon.in/Shoetopia-Casual-Sporty-Black-Sneakers/dp/B0CBMRL65P/ref=sr_1_2?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-2,https://m.media-amazon.com/images/I/61y8bt34jAL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,3,3,no,B0D76YSBMT,Shoetopia,Chunky Platform Sneakers for Women Colorblock || Lace-Up Athletic Shoes with Wavy Sole Design Casual and Party,₹659,INR,659,3.3 out of 5 stars,3.3,52 ratings,52,women,casual,party,,,,https://www.amazon.in/Chunky-Platform-Sneakers-Women-Colorblock/dp/B0D76YSBMT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-3,https://m.media-amazon.com/images/I/51aHRrfaSuL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,4,4,no,B0GQZGQC2B,Generic,"Women’s Black & White Chunky Sneakers | Thick Platform Lace-Up Casual Shoes | Lightweight Fashion Sports Shoes for Daily, ...",₹499,INR,499,,,,,women,casual,daily wear,black,,,https://www.amazon.in/Sneakers-Platform-Lace-Up-Lightweight-Footwear/dp/B0GQZGQC2B/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-4,https://m.media-amazon.com/images/I/71sPsTLaMOL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,5,5,no,B0C5R8SDCX,Shoetopia,Shoetopia Women’s Patent Stylish Loafers with Bow Detail ||Chunky Sole Slip-On Dress Shoes for Casual & Formal,₹553,INR,553,3.6 out of 5 stars,3.6,306 ratings,306,women,casual,work,,,,https://www.amazon.in/Shoetopia-Smart-Casual-Detailed-Loafers/dp/B0C5R8SDCX/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-5,https://m.media-amazon.com/images/I/51I8P5IeADL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,6,6,no,B0FNMJYBGW,Generic,FROH FEET Women's Mary Janes Shoes Platform Block Heel Dress Low Heel Chunky Pumps Round Toe Ankle Strap Pumps Shoes Oxfords,₹799,INR,799,3.5 out of 5 stars,3.5,7 ratings,7,women,,,,,,https://www.amazon.in/Womens-Janes-Platform-Chunky-Oxfords/dp/B0FNMJYBGW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-6,https://m.media-amazon.com/images/I/71B2tkBHtwL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,7,7,no,B0DH2HMLV4,XE Looks,"XE Looks Trendy Ankle Boots with Lace-Up, Zipper, and Double Buckle Design, Chunky Heel for Women & Girls",₹989,INR,989,3.8 out of 5 stars,3.8,61 ratings,61,women,,,,,,https://www.amazon.in/XE-Looks-Comfortable-Lightweight-Footwear/dp/B0DH2HMLV4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-7,https://m.media-amazon.com/images/I/51EarhPoL-L._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,8,8,no,B0F6TL5DZ9,Shoetopia,Chunky Platform Sneakers for Women Colorblock || Lace-Up Athletic Shoes with Wavy Sole Design Casual and Party,₹699,INR,699,3.3 out of 5 stars,3.3,52 ratings,52,women,casual,party,,,,https://www.amazon.in/Chunky-Platform-Sneakers-Women-Colorblock/dp/B0F6TL5DZ9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-8,https://m.media-amazon.com/images/I/5164S6Q67QL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,9,9,no,B091MY7MZ9,Vendoz,Vendoz Women & Girls White Casual Sports Shoes Sneakers - 36 EU,₹695,INR,695,3.7 out of 5 stars,3.7,"2,802 ratings",2802,women,casual,daily wear,white,,,https://www.amazon.in/Vendoz-Women-Casual-Sports-Sneakers/dp/B091MY7MZ9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-9,https://m.media-amazon.com/images/I/61XrCE4oLLS._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,10,10,no,B0C7GZMGRS,Bacca Bucci,Bacca Bucci Women Lace Up Sneaker Shoes,"₹1,399",INR,1399,3.8 out of 5 stars,3.8,119 ratings,119,women,,,,,,https://www.amazon.in/Bacca-Bucci-Streetwear-Light-Weight-Numeric_5/dp/B0C7GZMGRS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-10,https://m.media-amazon.com/images/I/615qxZQ0BAL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,11,11,no,B0BY6VZH25,Shoetopia,"Women's White Platform Sneakers – Chunky Sole Casual Walking Shoes|| Fashion Lace-Up Trainers for Everyday Streetwear, Travel",₹599,INR,599,3.2 out of 5 stars,3.2,4 ratings,4,women,casual,vacation,white,,,https://www.amazon.in/Shoetopia-Womens-Sneaker-Loin-White-Sneaker/dp/B0BY6VZH25/ref=sr_1_11?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-11,https://m.media-amazon.com/images/I/51ghKxGB7lL._AC_UL320_.jpg,
2026-04-26T21:17:27,amazon.in,platform shoes,1,12,12,no,B0BNKR6194,Vendoz,Vendoz Women Casual Blue Shoes,₹578,INR,578,3.7 out of 5 stars,3.7,859 ratings,859,women,casual,daily wear,blue,,,https://www.amazon.in/Vendoz-Women-Black-Causal-Sneakers/dp/B0BNKR6194/ref=sr_1_12?dib=eyJ2IjoiMSJ9.FS9_4zvjcouyhZ0UNLfyD1GB6jMYTeMQ3nNUu8WSwgjq2q9oWlPKMftgKXIEKXRDuo-ZFPebLdpfgIdxqJdi7gGKfDCAD_dwzlL6R8utM3S8pdliZYCbI8vZp0RYB6IVxvOIwPu0drKrMmlojuuXUsZf9-GJnpEjWO3C09KU9D4JELkuJDfqwkITShc-kl4RbqT9b8_EbBUqCqkXS-zn9G_-R_-r9yv62rzqQTjRX_d3lBH64LdDaZIMfqnpnW7_YR1bzM2mXqHpkxVg5Rj2gxtR-lq53zqcXu4N-cf_FZ0.uStXfyVzM57D_q_LG5LdKdSA30wVDuqfwLlAiuxcs3U&dib_tag=se&keywords=platform+shoes&qid=1777209446&sr=8-12,https://m.media-amazon.com/images/I/61TOqAiS7HL._AC_UL320_.jpg,
