scrape_date,source,query,page,page_position,result_rank,is_sponsored,asin,brand_name,product_name,price,currency,price_numeric,rating,rating_numeric,number_of_ratings,number_of_ratings_numeric,derived_gender,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,product_url,image_url,local_image_path
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,1,1,no,B0FHWW2VT8,KCM FASHION,High-Waisted Wide-Leg Jeans Featuring a Relaxed fit Silhouette and Classic Denim for Versatile Casual wear,₹498,INR,498,3.6 out of 5 stars,3.6,14 ratings,14,,casual,daily wear,denim,denim,,https://www.amazon.in/High-Waisted-Wide-Leg-Featuring-Silhouette-Versatile/dp/B0FHWW2VT8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-1,https://m.media-amazon.com/images/I/41aQZIqSbQL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,2,2,no,B0FM4GMDV5,Nifty,Nifty Women's Denim Stretchable High Waist Baggy Jeans for Women,₹729,INR,729,3.7 out of 5 stars,3.7,566 ratings,566,women,,,denim,denim,,https://www.amazon.in/Nifty-Womens-Denim-Stretchable-1479_PBLU_26_Peacock_Blue_26/dp/B0FM4GMDV5/ref=sr_1_2?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-2,https://m.media-amazon.com/images/I/71gojGAoGJL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,3,3,no,B0DTYYHLKP,GRECIILOOKS,GRECIILOOKS Cargo Jeans for Women – Wide Leg High Waist Baggy Denim Pants | Casual Fit Trousers with Utility Pocket Design,₹729,INR,729,3.9 out of 5 stars,3.9,530 ratings,530,women,casual,daily wear,denim,denim,,https://www.amazon.in/GRECIILOOKS-High-Waist-Jeans-Women/dp/B0DTYYHLKP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-3,https://m.media-amazon.com/images/I/61a1C49VvEL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,4,4,no,B0F62N7TYM,TAGAS,"TAGAS Women's High Waisted Wide Leg Jeans – Baggy Denim Pants, Loose Fit Casual Straight Leg Pant for Girls & Womens",₹749,INR,749,3.6 out of 5 stars,3.6,583 ratings,583,women,casual,daily wear,denim,denim,,https://www.amazon.in/TAGAS-Womens-High-Waisted-Jeans/dp/B0F62N7TYM/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-4,https://m.media-amazon.com/images/I/61lBeHycADL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,5,5,no,B0GJ5VYZPY,London Hills,London Hills Women's Relaxed Fit High Rise Jeans || Woman Jean's || Women Baggy Jeans || Jean's for Womens || Loose Jean f...,₹749,INR,749,4.0 out of 5 stars,4.0,"1,115 ratings",1115,women,,,,,,https://www.amazon.in/London-Hills-Women-Length-Casual/dp/B0GJ5VYZPY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-5,https://m.media-amazon.com/images/I/510WEmTExkL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,6,6,no,B0G24TTTHK,Amazon Brand - INKAST,Amazon Brand - INKAST Women High Rise Wide Leg Full Length Cotton Poly Lycra Jeans | Casual Denim Wear,₹599,INR,599,3.9 out of 5 stars,3.9,14 ratings,14,women,casual,daily wear,denim,cotton,,https://www.amazon.in/Amazon-Brand-INKAST-Womens-LegFull/dp/B0G24TTTHK/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-6,https://m.media-amazon.com/images/I/61vhzwq9CRL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,7,7,no,B0DJ11G4V4,Madame,Madame Blue Wide-Leg Cotton Jeans,"₹1,652",INR,1652,,,,,,,,blue,cotton,,https://www.amazon.in/Madame-Blue-Wide-Leg-Cotton-Jeans/dp/B0DJ11G4V4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-7,https://m.media-amazon.com/images/I/61tgqKi3LOL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,8,8,no,B0CSYPSWPP,U.S. POLO ASSN.,U.S. Polo ASSN. Women's Regular Fit High Rise Jeans,"₹1,310",INR,1310,3.9 out of 5 stars,3.9,19 ratings,19,women,basic,,,,,https://www.amazon.in/U-S-POLO-ASSN-Womens-UWAW23JN051_Blue_30/dp/B0CSYPSWPP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-8,https://m.media-amazon.com/images/I/718JAdm6RHL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,9,9,no,B0GVG3Q48B,KOTTY,KOTTY Women Wide Leg Baggy Jeans High Waist Relaxed Fit Denim Casual Wear,₹699,INR,699,,,,,women,casual,daily wear,denim,denim,,https://www.amazon.in/KOTTY-Women-Vintage-Casual-Jeans-KTTLADIESJEANS3219_Midnight/dp/B0GVG3Q48B/ref=sr_1_9?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-9,https://m.media-amazon.com/images/I/51Td-EY4omL._AC_UL320_.jpg,
2026-04-26T21:17:50,amazon.in,wide leg jeans,1,10,10,no,B0FFGP2TML,ADBUCKS,"ADBUCKS Women's Stretch Denim Wide Leg Jeans Comfort Fit with Elastic Waistband, Straight Cut, Casual Style for All Season...",₹723,INR,723,3.8 out of 5 stars,3.8,183 ratings,183,women,casual,daily wear,denim,denim,,https://www.amazon.in/ADBUCKS-Waistband-Straight-Versatile-Clothing/dp/B0FFGP2TML/ref=sr_1_10?dib=eyJ2IjoiMSJ9.-pVoY_ZY8YYXUv9cnjOsEgbffb3BAUesMvRJE1qn8ugxT9QLAaV_aSRBHLxIQkZtQ-7ipJHUalRRHnVz3wnXgRXSgwRkFYNxRD0bZGN0iCy6WR5czBABse4i2GBD6DCahzPBPSWa6WPcYgt_brfrttX4HmKxlPaH1ammP0lvHy6HEutAWA9rKlZ0GI6kAjyFYm5kouf2ZEaqq4nPwcbntm5TJD5NjjjiFTfo4j-YgNdMH9BgpjsgFslwYyLbbFxcJAWnvJZiECiNqnj_nx3mhMh_qAUzhEaxX6GkWI2WI_o.oElC_lwObRiN8OJkQXG6R5lt-g5ZlJy0J0pCwLx-Yp4&dib_tag=se&keywords=wide+leg+jeans&qid=1777209469&sr=8-10,https://m.media-amazon.com/images/I/61zleLAoXKL._AC_UL320_.jpg,
