asin,query,brand_name,product_name,image_url,derived_style,derived_scene,derived_colour,derived_material,derived_pattern,manual_note
B0DT1G7VMK,bucket hat,JACK & JONES,Jack & Jones Men's Polyester Hat,https://m.media-amazon.com/images/I/51L25vWnzCL._AC_UL320_.jpg,unknown,unknown,unknown,polyester,unknown,
B0BCQBX768,bucket hat,JAZAA,JAZAA Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,https://m.media-amazon.com/images/I/511bc6uY14L._AC_UL320_.jpg,unknown,vacation,unknown,unknown,reversible,
B0G9Q66QTH,bucket hat,STORE 2508,STORE 2508 Bucket Hat Reversible Foldable Cotton Sun Beach Fisherman Hat Casual Outdoor Cap Lovely Bomber Hats for Women M...,https://m.media-amazon.com/images/I/51BO3Umj3DL._AC_UL320_.jpg,casual,vacation,unknown,cotton,reversible,
B088MKR7DY,bucket hat,The Hat Depot,The Hat Depot Bucket Sun Hat 100% Cotton Long Brim and Deeper & Round Top Tennis Packable Summer Fashion Outdoor Hat,https://m.media-amazon.com/images/I/81tc6hoXFkL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B0FFGW3QPT,bucket hat,STORE 2508,STORE 2508 Bucket Hat Reversible Foldable Cotton Sun Beach Fisherman Hat Casual Outdoor Cap Lovely Bomber Hats for Women M...,https://m.media-amazon.com/images/I/51VmQZFwTJL._AC_UL320_.jpg,casual,vacation,unknown,cotton,reversible,
B0BGHNYXXW,bucket hat,JAZAA,JAZAA Unisex Fashion Embroidered Bucket Hat Summer Short Brim for Men Women Teens,https://m.media-amazon.com/images/I/71BjpoqL5SL._AC_UL320_.jpg,unknown,vacation,red,unknown,embroidered,
B0GQBS4RDJ,bucket hat,HSR,HSR Women Wide Brim Sun Hat | Versatile Casual Sunshade Bucket Hat for Women | UV Protection Summer Cap,https://m.media-amazon.com/images/I/71t66vmNMOL._AC_UL320_.jpg,casual,vacation,unknown,unknown,unknown,
B0CNTNFRXT,bucket hat,Tomorrow Fashion,"Tomorrow Fashion Reversible Bucket Hat for Women, Men & Teens | 2-in-1 Black & Cream Beach Sun Hat | Lightweight Travel Fi...",https://m.media-amazon.com/images/I/61sUQc88L7L._AC_UL320_.jpg,unknown,vacation,black,unknown,reversible,
B0C1ZD4Y68,bucket hat,FY LANE,FY LANE Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,https://m.media-amazon.com/images/I/31IdigDR8-L._AC_UL320_.jpg,unknown,vacation,unknown,unknown,reversible,
B0B31TFLY8,bucket hat,JAZAA,JAZAA Bucket Hat for Women Men Teens Reversible Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,https://m.media-amazon.com/images/I/51+o1ClftsL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,reversible,
B0F1CQC1BB,bucket hat,HSR,"HSR Lightweight Breathable Stylish Summer Hat Cap for Men Women, UV Protection, Sun Protection Round Cap for Travel, Hikin...",https://m.media-amazon.com/images/I/71SpWvqc4ZL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B07S4CTHC2,bucket hat,Tough Headwear,"Bucket Sun Hat for Men & Women - UPF 50 UV Protection Packable Summer Fisherman Cap for Fishing, Safari, Beach & Boating",https://m.media-amazon.com/images/I/71R5i0-5pwL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0CWFB3XZD,bucket hat,NORTHWIND,"NORTHWIND Cotton Bucket hat for Women, Bucket hat for Man, Beach hat for Women, Sun Protection Cap for Men, Round hat for ...",https://m.media-amazon.com/images/I/61HOA01DAJL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B0GFWMGJRY,bucket hat,Boldfit,"Boldfit UPF 50+ Sun Hats for Men - Wide Brim Summer Cap with UV Protection, Lightweight & Breathable Mesh, Adjustable Chin...",https://m.media-amazon.com/images/I/71YU4p1iTkL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0CBSR8DLX,bucket hat,FASHOLIC,"FASHOLIC Bucket Hat for Men & Women | Cotton Plain Bucket Cap | Summer Sun Protection Hat for Travel, Beach & Casual Wear",https://m.media-amazon.com/images/I/51dmMAMg1hL._AC_UL320_.jpg,casual,vacation,unknown,cotton,unknown,
B0973L6CRD,bucket hat,INFISPACE,INFISPACE Sunhat for Unisex | for Winter Summer Wear,https://m.media-amazon.com/images/I/51hwB7uvlzS._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0B39N362K,bucket hat,JAZAA,JAZAA Bucket Hat for Women Men Teens Summer Beach Sun Hat Packable Fisherman Cap for Travel Outdoor Hiking,https://m.media-amazon.com/images/I/81Cf+LGx6oL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B08ZJ49XQ4,bucket hat,PALAY,PALAY Women Bucket Hat Foldable Cotton Sun Beach Hat Fisherman Hat Casual Outdoor Cap Lovely Bomber Hats for Women Men Boy...,https://m.media-amazon.com/images/I/51N-VNX7ncL._AC_UL320_.jpg,casual,vacation,unknown,cotton,unknown,
B014V0DTT8,bucket hat,The Hat Depot,The Hat Depot 300N Unisex 100% Cotton Packable Summer Travel Bucket Beach Sun Hat,https://m.media-amazon.com/images/I/91dM25YvALL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B0DY7T4GK5,bucket hat,Jessica Exim,"Jessica Exim Unisex Sun Protection Bucket Hat for Men & Women - Foldable, Quick-Dry, Breathable, and Packable Bucket Hat f...",https://m.media-amazon.com/images/I/41Ja96u2GZL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0CWF997KJ,bucket hat,NORTHWIND,"NORTHWIND Cotton Bucket hat for Women, Bucket hat for Man, Beach hat for Women, Sun Protection Cap for Men, Round hat for ...",https://m.media-amazon.com/images/I/61CZUxPfSsL._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B07CL4H2CY,bucket hat,Gelante,Gelante 100% Cotton Packable Fishing Hunting Summer Travel Bucket Cap Hat,https://m.media-amazon.com/images/I/A18GN7JZ76L._AC_UL320_.jpg,unknown,vacation,unknown,cotton,unknown,
B07DHWYCV3,bucket hat,CHOK.LIDS,ChoKoLids Cotton Bucket Hat | Packable Summer Travel Hat | Fishing Hat | 7 Colors (Black),https://m.media-amazon.com/images/I/61mWD8+wQRL._AC_UL320_.jpg,unknown,vacation,black,cotton,unknown,
B0C1Z19TS7,bucket hat,CAPITEUM,CAPITEUM Shade Black Bucket Hats for Men and Women Cotton Hats for Girls Wide Brim Floppy Summer,https://m.media-amazon.com/images/I/41KxodxzmgL._AC_UL320_.jpg,unknown,vacation,black,cotton,unknown,
B0DY7TGD1L,bucket hat,Jessica Exim,"Jessica Exim Unisex Sun Protection Bucket Hat for Men & Women - Foldable, Quick-Dry, Breathable, and Packable Bucket Hat f...",https://m.media-amazon.com/images/I/41mkTmcoobL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
B0F3HZ4HSQ,bucket hat,SANNIDHI,"SANNIDHI® Sun Hats for Women Bucket Hat for Women, Wide Brim Summer UV Protection Beach Hat, Outdoor Casual Womens Hats wi...",https://m.media-amazon.com/images/I/61LCOqo9CoL._AC_UL320_.jpg,casual,vacation,unknown,unknown,unknown,
B0DY7R6M3S,bucket hat,Jessica Exim,"Jessica Exim Unisex Sun Protection Bucket Hat for Men & Women - Foldable, Quick-Dry, Breathable, and Packable Bucket Hat f...",https://m.media-amazon.com/images/I/41ZcVe7BwjL._AC_UL320_.jpg,unknown,vacation,unknown,unknown,unknown,
